Filename,Predictions,Calories per 100 g
oyster/oysters.766.jpg,cheese cake,321 cal
chicken wings/chicken_wings.738.jpg,cheese cake,321 cal
gyoza/gyoza.807.jpg,cheese cake,321 cal
donuts/donuts.952.jpg,cheese cake,321 cal
french fries/french_fries.951.jpg,cheese cake,321 cal
cheese cake/cheesecake.720.jpg,cheese cake,321 cal
gyoza/gyoza.821.jpg,cheese cake,321 cal
scallops/scallops.736.jpg,cheese cake,321 cal
cheese cake/cheesecake.815.jpg,cheese cake,321 cal
scallops/scallops.801.jpg,cheese cake,321 cal
cheese cake/cheesecake.776.jpg,cheese cake,321 cal
waffle/waffle.747.jpg,cheese cake,321 cal
scallops/scallops.836.jpg,cheese cake,321 cal
scallops/scallops.766.jpg,cheese cake,321 cal
scallops/scallops.809.jpg,cheese cake,321 cal
gyoza/gyoza.774.jpg,cheese cake,321 cal
gyoza/gyoza.814.jpg,cheese cake,321 cal
gyoza/gyoza.745.jpg,cheese cake,321 cal
chicken wings/chicken_wings.908.jpg,cheese cake,321 cal
cheese cake/cheesecake.845.jpg,cheese cake,321 cal
fried rice/fried_rice.977.jpg,cheese cake,321 cal
cheese cake/cheesecake.945.jpg,cheese cake,321 cal
french fries/french_fries.999.jpg,cheese cake,321 cal
ice-cream/ice_cream.919.jpg,cheese cake,321 cal
gyoza/gyoza.781.jpg,cheese cake,321 cal
french fries/french_fries.927.jpg,cheese cake,321 cal
chicken wings/chicken_wings.845.jpg,cheese cake,321 cal
ice-cream/ice_cream.810.jpg,cheese cake,321 cal
cheese cake/cheesecake.977.jpg,cheese cake,321 cal
french fries/french_fries.836.jpg,cheese cake,321 cal
gyoza/gyoza.990.jpg,cheese cake,321 cal
chicken wings/chicken_wings.721.jpg,cheese cake,321 cal
oyster/oysters.787.jpg,cheese cake,321 cal
chicken wings/chicken_wings.929.jpg,cheese cake,321 cal
french fries/french_fries.798.jpg,cheese cake,321 cal
cheese cake/cheesecake.787.jpg,cheese cake,321 cal
cheese cake/cheesecake.953.jpg,cheese cake,321 cal
gyoza/gyoza.784.jpg,cheese cake,321 cal
scallops/scallops.771.jpg,cheese cake,321 cal
waffle/waffle.746.jpg,cheese cake,321 cal
waffle/waffle.922.jpg,cheese cake,321 cal
oyster/oysters.745.jpg,cheese cake,321 cal
french fries/french_fries.708.jpg,cheese cake,321 cal
oyster/oysters.920.jpg,cheese cake,321 cal
donuts/donuts.733.jpg,cheese cake,321 cal
waffle/waffle.750.jpg,cheese cake,321 cal
donuts/donuts.968.jpg,cheese cake,321 cal
oyster/oysters.722.jpg,cheese cake,321 cal
gyoza/gyoza.715.jpg,cheese cake,321 cal
french fries/french_fries.818.jpg,cheese cake,321 cal
scallops/scallops.878.jpg,cheese cake,321 cal
waffle/waffle.973.jpg,cheese cake,321 cal
scallops/scallops.789.jpg,cheese cake,321 cal
gyoza/gyoza.865.jpg,cheese cake,321 cal
chicken wings/chicken_wings.828.jpg,cheese cake,321 cal
french fries/french_fries.790.jpg,cheese cake,321 cal
gyoza/gyoza.962.jpg,cheese cake,321 cal
waffle/waffle.834.jpg,cheese cake,321 cal
ice-cream/ice_cream.920.jpg,cheese cake,321 cal
donuts/donuts.751.jpg,cheese cake,321 cal
chicken wings/chicken_wings.750.jpg,cheese cake,321 cal
french fries/french_fries.861.jpg,cheese cake,321 cal
waffle/waffle.959.jpg,cheese cake,321 cal
scallops/scallops.825.jpg,cheese cake,321 cal
french fries/french_fries.867.jpg,cheese cake,321 cal
chicken wings/chicken_wings.806.jpg,cheese cake,321 cal
oyster/oysters.927.jpg,cheese cake,321 cal
oyster/oysters.931.jpg,cheese cake,321 cal
french fries/french_fries.875.jpg,cheese cake,321 cal
french fries/french_fries.956.jpg,cheese cake,321 cal
cheese cake/cheesecake.962.jpg,cheese cake,321 cal
waffle/waffle.713.jpg,cheese cake,321 cal
oyster/oysters.949.jpg,cheese cake,321 cal
gyoza/gyoza.999.jpg,cheese cake,321 cal
scallops/scallops.924.jpg,cheese cake,321 cal
chicken wings/chicken_wings.724.jpg,cheese cake,321 cal
chicken wings/chicken_wings.933.jpg,cheese cake,321 cal
oyster/oysters.817.jpg,cheese cake,321 cal
cheese cake/cheesecake.843.jpg,cheese cake,321 cal
chicken wings/chicken_wings.757.jpg,cheese cake,321 cal
gyoza/gyoza.949.jpg,cheese cake,321 cal
fried rice/fried_rice.751.jpg,cheese cake,321 cal
cheese cake/cheesecake.833.jpg,cheese cake,321 cal
waffle/waffle.895.jpg,cheese cake,321 cal
chicken wings/chicken_wings.708.jpg,cheese cake,321 cal
french fries/french_fries.757.jpg,cheese cake,321 cal
fried rice/fried_rice.787.jpg,cheese cake,321 cal
